Race,Incidents,Distribution
Asian American,26,0.06074766355140187
Black or African American,98,0.22897196261682243
Latin American,9,0.02102803738317757
Native American,6,0.014018691588785047
Other,4,0.009345794392523364
Two or more races,3,0.007009345794392523
Unknown,78,0.1822429906542056
White American,204,0.4766355140186916
